facility_id,facility_name,category_main,category_detail,address,gu_name,dong_name,capacity,source_file,lon,lat,road_address,jibun_address,geocode_status,geocode_provider,geocode_query,geocode_error,geocode_sido,geocode_gu,geocode_dong,kakao_address_type,kakao_h_code,kakao_b_code,kakao_building_name,kakao_zone_no
H-A0004,홍파양로원,주거,(노인복지시설) 양로시설,서울특별시 노원구 동일로248길 1266 번지,노원구,,,01_노인주거복지시설.csv,,,,,NO_RESULT,kakao,서울특별시 노원구 동일로248길 1266번지,total_count=0,,,,,,,,
H-C0119458588,이암 양로원,주거,(노인복지시설) 양로시설,서울특별시 성동구 상왕십리동 뉴타운2구역 종교부지 1로트 천리교 혜성교회 5층,성동구,성동,,01_노인주거복지시설.csv,,,,,NO_RESULT,kakao,서울특별시 성동구 상왕십리동 뉴타운2구역 종교부지 1로트 천리교 혜성교회,total_count=0,,,,,,,,
M-A2895,은천요양원,의료,(노인복지시설) 노인요양시설,서울특별시 동대문구 장한로27가길 298 번지 21 호,동대문구,,,02_노인의료복지시설.csv,,,,,NO_RESULT,kakao,서울특별시 동대문구 장한로27가길 298번지 21호,total_count=0,,,,,,,,
M-A8158,홍은노인요양시설,의료,(노인복지시설) 노인요양시설,"서울특별시 서대문구 홍은중앙로9길 43, 3,4층 (홍은동)",서대문구,홍은동,,02_노인의료복지시설.csv,,,,,NO_RESULT,kakao,"서울특별시 서대문구 홍은중앙로9길 43, 3",total_count=0,,,,,,,,
M-A8356,임원요양원,의료,(노인복지시설) 노인요양시설,서울특별시 금천구 독산로 959 번지 23 호,금천구,,,02_노인의료복지시설.csv,,,,,NO_RESULT,kakao,서울특별시 금천구 독산로 959번지 23호,total_count=0,,,,,,,,
M-A9100,보문요양원,의료,(노인복지시설) 노인요양시설,서울특별시 성북구 인촌로7길 32 (안암동1가),성북구,안암동,,02_노인의료복지시설.csv,,,,,NO_RESULT,kakao,서울특별시 성북구 인촌로7길 32,total_count=0,,,,,,,,
M-C0000008902,호암마을,의료,(노인복지시설) 노인요양시설,서울특별시 은평구 진관외동 488,은평구,진관외동,,02_노인의료복지시설.csv,,,,,NO_RESULT,kakao,서울특별시 은평구 진관외동 488,total_count=0,,,,,,,,
M-C0000011953,호선실버센터,의료,(노인복지시설) 노인요양시설,서울특별시 강서구 내발산동 산 55-2,강서구,내발산동,,02_노인의료복지시설.csv,,,,,NO_RESULT,kakao,서울특별시 강서구 내발산동 산 55-2,total_count=0,,,,,,,,
M-C0000013265,낮은소리의집,의료,(노인복지시설) 노인요양시설,서울특별시 서초구 새원말길 4-2 (신원동),서초구,신원동,,02_노인의료복지시설.csv,,,,,NO_RESULT,kakao,서울특별시 서초구 새원말길 4-2,total_count=0,,,,,,,,
M-C0000013608,큰사랑,의료,(노인복지시설) 노인요양시설,서울특별시 강남구 포이동 164-10,강남구,포이동,,02_노인의료복지시설.csv,,,,,NO_RESULT,kakao,서울특별시 강남구 포이동 164-10,total_count=0,,,,,,,,
M-C0119326587,성신노인요양원,의료,(노인복지시설) 노인요양시설,서울특별시 성북구 동소문동7가 8번지 2호,성북구,동소문동,,02_노인의료복지시설.csv,,,,,NO_RESULT,kakao,서울특별시 성북구 동소문동7가 8번지 2호,total_count=0,,,,,,,,
M-C0119395660,대한적십자사 구립중구노인요양센터,의료,(노인복지시설) 노인요양시설,서울특별시 중구 장충동2가 192번지 45호,중구,장충동,,02_노인의료복지시설.csv,,,,,NO_RESULT,kakao,서울특별시 중구 장충동2가 192번지 45호,total_count=0,,,,,,,,
