facility_id,facility_name,category_main,category_detail,address,gu_name,dong_name,capacity,source_file
H-A0004,홍파양로원,주거,(노인복지시설) 양로시설,서울특별시 노원구 동일로248길 1266 번지,노원구,,,01_노인주거복지시설.csv
H-A0019,혜명양로원,주거,(노인복지시설) 양로시설,서울특별시 금천구 금하로29길,금천구,,,01_노인주거복지시설.csv
H-A0098,시립고덕양로원,주거,(노인복지시설) 양로시설,서울특별시 강동구 고덕로 199 (고덕동),강동구,고덕동,,01_노인주거복지시설.csv
H-A1746,사랑의 집,주거,(노인복지시설) 양로시설,서울특별시 마포구 만리재옛6길 14 (공덕동),마포구,공덕동,,01_노인주거복지시설.csv
H-A2156,서울성모원,주거,(노인복지시설) 양로시설,서울특별시 영등포구 대림로12가길 7-1,영등포구,,,01_노인주거복지시설.csv
H-A2218,성우회,주거,(노인복지시설) 양로시설,서울특별시 은평구 통일로92길 13 (불광동),은평구,불광동,,01_노인주거복지시설.csv
H-A3022,서울시니어스타워㈜강서본부,주거,(노인복지시설) 노인복지주택,서울특별시 강서구 공항대로 315 (등촌동),강서구,등촌동,,01_노인주거복지시설.csv
H-A3167,섭리의집,주거,(노인복지시설) 양로시설,서울특별시 금천구 시흥대로40길 111-5 (시흥동),금천구,시흥동,,01_노인주거복지시설.csv
H-A4603,서울시니어스타워(주)가양본부,주거,(노인복지시설) 노인복지주택,서울특별시 강서구 화곡로68길 102 (등촌동),강서구,등촌동,,01_노인주거복지시설.csv
H-A6023,시니어캐슬 클라시온,주거,(노인복지시설) 노인복지주택,서울특별시 은평구 은평로21길 34-5 (녹번동),은평구,녹번동,,01_노인주거복지시설.csv
H-A6524,모니카의 집,주거,(노인복지시설) 노인공동생활가정,서울특별시 광진구 자양로33길 36 (구의동),광진구,구의동,,01_노인주거복지시설.csv
H-A6835,쟌쥬강의 집,주거,(노인복지시설) 양로시설,서울특별시 강서구 까치산로14길 67 (화곡동),강서구,화곡동,,01_노인주거복지시설.csv
H-A6850,자애로운 성모의 집,주거,(노인복지시설) 양로시설,서울특별시 도봉구 우이천로38마길 19 (쌍문동),도봉구,쌍문동,,01_노인주거복지시설.csv
H-A6971,정동상림원,주거,(노인복지시설) 노인복지주택,서울특별시 중구 정동길 21-31 (정동),중구,정동,,01_노인주거복지시설.csv
H-A7109,상암 카이져팰리스 클래식,주거,(노인복지시설) 노인복지주택,서울특별시 마포구 월드컵북로47길 37 (상암동),마포구,상암동,,01_노인주거복지시설.csv
H-C0000011834,서울시니어스타워(주) 강서본부,주거,(노인복지시설) 노인복지주택,서울특별시 강서구 공항대로 315 (등촌동),강서구,등촌동,,01_노인주거복지시설.csv
H-C0000013618,(효천)성바오로집,주거,(노인복지시설) 노인공동생활가정,서울특별시 강남구 논현로18길 18-18 (개포동),강남구,개포동,,01_노인주거복지시설.csv
H-C0000014259,후성누리움,주거,(노인복지시설) 노인복지주택,서울특별시 강동구 명일로 135 (둔촌동),강동구,둔촌동,,01_노인주거복지시설.csv
H-C0102844471,베들레헴사랑의집,주거,(노인복지시설) 양로시설,경기도 동두천시 탑동동 -95,,탑동동,,01_노인주거복지시설.csv
H-C0119458588,이암 양로원,주거,(노인복지시설) 양로시설,서울특별시 성동구 상왕십리동 뉴타운2구역 종교부지 1로트 천리교 혜성교회 5층,성동구,성동,,01_노인주거복지시설.csv
H-C0183214470,황윤현시설,주거,(노인복지시설) 노인공동생활가정,서울특별시 강남구 남부순환로 2609 (도곡동),강남구,도곡동,,01_노인주거복지시설.csv
H-C0608200217,KB골든라이프케어 종로평창카운티,주거,(노인복지시설) 노인복지주택,서울특별시 종로구 평창문화로 87 (평창동),종로구,평창동,,01_노인주거복지시설.csv
H-C0608462966,세디아,주거,(노인복지시설) 양로시설,서울특별시 영등포구 신길로 93 (신길동),영등포구,신길동,,01_노인주거복지시설.csv
H-C0609522399,위례심포니아,주거,(노인복지시설) 노인복지주택,서울특별시 송파구 위례순환로 377 (장지동),송파구,장지동,,01_노인주거복지시설.csv
H-C0609707992,VL르웨스트,주거,(노인복지시설) 노인복지주택,서울특별시 강서구 마곡중앙3로 16 (마곡동),강서구,마곡동,,01_노인주거복지시설.csv
H-F04322,애림원,주거,(노인복지시설) 양로시설,경기도 시흥시 동서로 895-6 (물왕동),,물왕동,,01_노인주거복지시설.csv
H-G1222,요셉의집,주거,(노인복지시설) 노인공동생활가정,서울특별시 도봉구 시루봉로15라길 69 (방학동),도봉구,방학동,,01_노인주거복지시설.csv
H-G1767,서울시니어스타워(주)강남본부,주거,(노인복지시설) 노인복지주택,"서울특별시 강남구 자곡로 100-2 (자곡동, 서울특별시니어스강남타워)",강남구,자곡동,,01_노인주거복지시설.csv
H-G1824,하이원빌리지,주거,(노인복지시설) 노인복지주택,서울특별시 용산구 한강대로40가길 24 (한강로2가),용산구,,,01_노인주거복지시설.csv
H-G2203,서울시니어스타워(주) 서울본부,주거,(노인복지시설) 노인복지주택,"서울특별시 중구 다산로 72 (신당동, 서울특별시니어스타워)",중구,신당동,,01_노인주거복지시설.csv
H-G2640,THE CLASSIC 500,주거,(노인복지시설) 양로시설,서울특별시 광진구 능동로 90 (자양동),광진구,자양동,,01_노인주거복지시설.csv
