gu_name,dong_name,facility_count
강남구,,2
강남구,개포4동,1
강남구,개포동,5
강남구,논현1동,1
강남구,논현2동,1
강남구,논현동,5
강남구,대치4동,1
강남구,대치동,3
강남구,도곡동,3
강남구,삼성1동,1
강남구,삼성동,2
강남구,서면,1
강남구,세곡동,5
강남구,수서동,1
강남구,신사동,1
강남구,역삼2동,1
강남구,역삼동,5
강남구,율현동,1
강남구,일원1동,1
강남구,일원동,2
강남구,자곡동,3
강남구,포이동,1
강동구,강동,35
강동구,강일동,5
강동구,고덕동,4
강동구,길동,2
강동구,둔촌동,2
강동구,명일동,4
강동구,암사동,1
강동구,천호동,4
강북구,,1
강북구,미아동,11
강북구,번3동,2
강북구,번동,6
강북구,송중동,1
강북구,수유1동,6
강북구,수유2동,4
강북구,수유3동,2
강북구,수유동,32
강북구,우이동,2
강북구,인수동,7
강서구,가양1동,1
강서구,가양동,3
강서구,개화동,2
강서구,내발산동,13
강서구,등촌1동,1
강서구,등촌2동,2
강서구,등촌3동,1
강서구,등촌동,10
강서구,마곡동,2
강서구,발산1동,5
강서구,방화1동,2
강서구,방화2동,1
강서구,방화3동,2
강서구,방화동,10
강서구,우장산동,3
강서구,화곡1동,6
강서구,화곡3동,1
강서구,화곡6동,1
강서구,화곡8동,1
강서구,화곡동,27
강서구,화곡본동,2
관악구,난곡동,1
관악구,난향동,1
관악구,대학동,1
관악구,미성동,10
관악구,보라매동,2
관악구,봉천동,11
관악구,서림동,1
관악구,신림동,34
관악구,신사동,1
관악구,조원동,4
관악구,청룡동,1
광진구,광장동,5
광진구,구의동,15
광진구,군자동,4
광진구,자양동,11
광진구,중곡동,16
광진구,화양동,1
구로구,가리봉동,2
구로구,개봉1동,1
구로구,개봉3동,1
구로구,개봉동,4
구로구,고척1동,2
구로구,고척동,5
구로구,구로5동,2
구로구,구로동,5
구로구,목동,3
구로구,오류1동,2
구로구,오류2동,2
구로구,오류동,4
구로구,온수동,1
구로구,천왕동,1
군포시,산본동,2
금천구,,1
금천구,가산동,3
금천구,독산1동,5
금천구,독산2동,3
금천구,독산3동,3
금천구,독산4동,1
금천구,독산동,25
금천구,시흥1동,6
금천구,시흥2동,1
금천구,시흥동,16
노원구,,1
노원구,공릉1동,1
노원구,공릉2동,1
노원구,공릉동,3
노원구,동동,1
노원구,상계1동,4
노원구,상계2동,5
노원구,상계5동,7
노원구,상계동,27
노원구,월계동,2
노원구,중계2.3동,1
노원구,중계동,3
노원구,청운효자동,1
노원구,하계2동,1
노원구,하계동,2
덕양구,관산동,1
도봉구,,1
도봉구,도봉1동,4
도봉구,도봉2동,7
도봉구,도봉동,13
도봉구,방학1동,13
도봉구,방학3동,2
도봉구,방학동,33
도봉구,쌍문2동,10
도봉구,쌍문4동,1
도봉구,쌍문동,20
도봉구,창2동,4
도봉구,창3동,1
도봉구,창4동,1
도봉구,창5동,3
도봉구,창동,19
동대문구,,1
동대문구,답십리1동,1
동대문구,답십리2동,4
동대문구,답십리동,14
동대문구,외대역동,1
동대문구,용두동,2
동대문구,이문동,1
동대문구,장안2동,3
동대문구,장안동,3
동대문구,전농2동,1
동대문구,전농동,5
