gu_name,pop_total,pop_65plus,pop_75plus,pop_85plus,pct_elderly_65,pct_elderly_75
강북구,278786,75198,32757,7776,26.97,11.75
도봉구,299065,79438,32481,8300,26.56,10.86
중구,117762,27497,11844,3218,23.35,10.06
종로구,136817,31045,13580,3922,22.69,9.93
은평구,454109,103736,43850,10780,22.84,9.66
중랑구,376665,89529,34879,8084,23.77,9.26
구로구,382836,87137,35202,7742,22.76,9.2
서대문구,300594,62806,27596,7475,20.89,9.18
성북구,422778,88408,37929,9651,20.91,8.97
노원구,482487,106101,43222,11189,21.99,8.96
금천구,222712,50393,19666,4406,22.63,8.83
동대문구,351542,73765,30944,7607,20.98,8.8
동작구,372236,76457,32760,7970,20.54,8.8
용산구,200962,40223,17192,5055,20.02,8.55
관악구,478468,93239,39938,8770,19.49,8.35
영등포구,371177,72168,30254,7588,19.44,8.15
성동구,275093,54008,22305,5631,19.63,8.11
강서구,548985,114922,44342,10581,20.93,8.08
마포구,356966,62410,27202,7338,17.48,7.62
광진구,331123,63236,24980,6143,19.1,7.54
양천구,423666,85718,31913,7242,20.23,7.53
서초구,415540,73218,30425,7035,17.62,7.32
강동구,499795,99529,35841,7643,19.91,7.17
강남구,554165,96656,39444,8756,17.44,7.12
송파구,650071,121744,44965,9941,18.73,6.92
