rest_id,kind,name,address,area_m2,lon,lat,source_file
R-00001,cool_shelter,박산경로당,서울특별시 금천구 시흥대로2길 60,158.4,126.9065287,37.4350423,03_seoul_cool_shelter.csv
R-00002,cool_shelter,새쟁이마을경로당,,65.0,127.069863,37.435046,03_seoul_cool_shelter.csv
R-00003,cool_shelter,동네방네마을이음센터(1층다목적실),서울특별시 금천구 시흥대로12길 10-5 (남부도로사업소 청사),50.0,126.90431,37.438613,03_seoul_cool_shelter.csv
R-00004,cool_shelter,시흥3동주민센터,서울특별시 금천구 시흥대로18길 40 (시흥3동주민센터),1344.0,126.905828,37.440264,03_seoul_cool_shelter.csv
R-00005,cool_shelter,박미사랑마을회관,서울특별시 금천구 시흥대로12길 82 (시흥동),15.0,126.9074938,37.4405767,03_seoul_cool_shelter.csv
R-00006,cool_shelter,새마을금고금천남부시흥3동지점,서울특별시 금천구 시흥대로 78 (시흥동),20.0,126.9038057,37.4409324,03_seoul_cool_shelter.csv
R-00007,cool_shelter,금산경로당,서울특별시 금천구 시흥대로24길 50,148.4,126.9071673,37.4412742,03_seoul_cool_shelter.csv
R-00008,cool_shelter,원지경로당,,20.0,127.057642,37.442979,03_seoul_cool_shelter.csv
R-00009,cool_shelter,금천정원지원센터,서울특별시 금천구 시흥대로40길 120,30.0,126.909782,37.446302,03_seoul_cool_shelter.csv
R-00010,cool_shelter,금천문화회관(1층로비),서울특별시 금천구 시흥대로38길 61 (금천문화회관),33.0,126.904365,37.446478,03_seoul_cool_shelter.csv
R-00011,cool_shelter,청룡마을경로당,서울특별시 서초구 청룡마을4길 15,106.14,127.0580006,37.4474232,03_seoul_cool_shelter.csv
R-00012,cool_shelter,서울시립금천청소년센터(1층로비),서울특별시 금천구 금하로30길 54 (시흥동),87.4,126.915354,37.4484399,03_seoul_cool_shelter.csv
R-00013,cool_shelter,서초포레스타7단지(아)경로당,서울특별시 서초구 청계산로11길 7-12 (서초포레스타7단지 701동),120.0,127.056842,37.44845,03_seoul_cool_shelter.csv
R-00014,cool_shelter,벽산아파트5단지경로당,서울특별시 금천구 금하로 816 (벽산5단지아파트 상가1동),,126.918872,37.448548,03_seoul_cool_shelter.csv
R-00015,cool_shelter,내곡동주민센터,서울특별시 서초구 청계산로15길 77 (신원동),119.0,127.0583117,37.4493013,03_seoul_cool_shelter.csv
R-00016,cool_shelter,시흥2동주민센터,서울특별시 금천구 금하로 764 (시흥동),48.0,126.9148189,37.4495526,03_seoul_cool_shelter.csv
R-00017,cool_shelter,시흥2동마을활력소(늘솔나루),서울특별시 금천구 금하로 764 (시흥동),128.84,126.9141886,37.4496974,03_seoul_cool_shelter.csv
R-00018,cool_shelter,서초포레스타6단지(아)경로당,서울특별시 서초구 청계산로9길 1-12 (서초포레스타6단지 601동),213.0,127.055715,37.449898,03_seoul_cool_shelter.csv
R-00019,cool_shelter,금천노인종합복지관,서울특별시 금천구 시흥대로51길 93-32,90.0,126.8977809,37.450152,03_seoul_cool_shelter.csv
R-00020,cool_shelter,새마을금고금천남부,서울특별시 금천구 금하로 724-1 (시흥동),7.0,126.9101357,37.4504235,03_seoul_cool_shelter.csv
R-00021,cool_shelter,읍내경로당,서울특별시 금천구 은행나무로10길 12-1,95.0,126.9063177,37.4504237,03_seoul_cool_shelter.csv
R-00022,cool_shelter,시흥5동주민센터,서울특별시 금천구 금하로24길 6 (시흥동),711.0,126.9084,37.4508,03_seoul_cool_shelter.csv
R-00023,cool_shelter,산장경로당,서울특별시 금천구 탑골로2길 59-9,199.0,126.9138957,37.4508156,03_seoul_cool_shelter.csv
R-00024,cool_shelter,공동체경제통합지원센터(2관),서울특별시 금천구 탑골로8길 23 (시흥동),56.92,126.9148,37.4509,03_seoul_cool_shelter.csv
R-00025,cool_shelter,공동체경제통합지원센터(1관),서울특별시 금천구 은행나무로 45 (시흥동),119.0,126.9074665,37.4510333,03_seoul_cool_shelter.csv
R-00026,cool_shelter,시흥5동임시어르신쉼터,서울특별시 금천구 금하로 700 (시흥동),20.0,126.907652,37.4514243,03_seoul_cool_shelter.csv
R-00027,cool_shelter,탑동경로당,서울특별시 금천구 금하로23가길 14-1 (시흥동),118.8,126.9095322,37.4515244,03_seoul_cool_shelter.csv
R-00028,cool_shelter,청담종합사회복지관,서울특별시 금천구 시흥동 금하로29길  36   (시흥동),243.0,126.9136438,37.4516789,03_seoul_cool_shelter.csv
R-00029,cool_shelter,금천마을활력소어울샘(2층어울샘홀),서울특별시 금천구 탑골로 22 (시흥동),150.0,126.9116314,37.4518201,03_seoul_cool_shelter.csv
R-00030,cool_shelter,국민은행금천지점,서울특별시 금천구 시흥대로 202 (시흥동),24.0,126.9020489,37.4519311,03_seoul_cool_shelter.csv
R-00031,cool_shelter,OK부동산공인중개사사무소,서울특별시 서초구 헌릉로8길 60 (서초더샵포레),,127.063784,37.452,03_seoul_cool_shelter.csv
R-00032,cool_shelter,서초구립내곡도서관,서울특별시 서초구 청계산로7길 9-20 (신원동),20.0,127.0544145,37.4520099,03_seoul_cool_shelter.csv
R-00033,cool_shelter,서초더샵포레시니어하우스경로당,서울특별시 서초구 헌릉로8길 58 (서초더샵포레 주민복지관3),184.0,127.063869,37.452197,03_seoul_cool_shelter.csv
R-00034,cool_shelter,대명경로당,서울특별시 금천구 독산로11길 4 (시흥동),95.88,126.9055948,37.452227,03_seoul_cool_shelter.csv
R-00035,cool_shelter,청계산수변공원내곡파크골프장서초에코쉼터,,,127.051199,37.452635,03_seoul_cool_shelter.csv
R-00036,cool_shelter,철쭉경로당,서울특별시 금천구 금하로1마길 15-8,143.1,126.889601,37.4528822,03_seoul_cool_shelter.csv
R-00037,cool_shelter,농협시흥동지점,서울특별시 금천구 시흥대로 213-2 (시흥동),13.0,126.9008124,37.4529212,03_seoul_cool_shelter.csv
R-00038,cool_shelter,금하마을주민공동이용시설(1층공유부엌),서울특별시 금천구 금하로1다길 16 (독산동),53.69,126.8914194,37.4529858,03_seoul_cool_shelter.csv
R-00039,cool_shelter,서초구립홍씨마을경로당,서울특별시 서초구 홍씨마을길 25 (내곡동),165.0,127.0655196,37.4531888,03_seoul_cool_shelter.csv
R-00040,cool_shelter,금천구지체장애인쉼터,"서울특별시 금천구 시흥대로59길 13 (시흥동, 백운플러스타워)",253.66,126.9,37.4534,03_seoul_cool_shelter.csv
R-00041,cool_shelter,시흥1동주민센터,서울특별시 금천구 시흥동 시흥대로58길  36   (시흥동),308.0,126.903237,37.4535702,03_seoul_cool_shelter.csv
R-00042,cool_shelter,서초구립새원마을경로당,서울특별시 서초구 새원3길 8 (원지동),134.0,127.0499728,37.4538968,03_seoul_cool_shelter.csv
R-00043,cool_shelter,신한은행시흥점,서울특별시 금천구 시흥대로 230 (시흥동),18.0,126.9012201,37.4544287,03_seoul_cool_shelter.csv
R-00044,cool_shelter,본마을경로당,서울특별시 서초구 본마을2길 2 (신원동),160.0,127.0534524,37.4544459,03_seoul_cool_shelter.csv
R-00045,cool_shelter,목련아파트경로당,서울특별시 금천구 금하로3길 26 (시흥목련아파트103동),,126.897596,37.454535,03_seoul_cool_shelter.csv
R-00046,cool_shelter,능안마을경로당,서울특별시 서초구 능안말2길 13 (내곡동),144.28,127.066278,37.4545803,03_seoul_cool_shelter.csv
R-00047,cool_shelter,서초포레스타3단지(아)경로당,서울특별시 서초구 헌릉로8길 22 (서초포레스타3단지 301동),183.0,127.059159,37.454769,03_seoul_cool_shelter.csv
R-00048,cool_shelter,내곡신흥경로당,,60.0,127.080897,37.454933,03_seoul_cool_shelter.csv
R-00049,cool_shelter,안골마을경로당,,50.0,127.063331,37.455998,03_seoul_cool_shelter.csv
R-00050,cool_shelter,골드힐스공인중개사사무소쉼터,서울특별시 서초구 양재대로2길 90 (서초힐스),,127.016797,37.456361,03_seoul_cool_shelter.csv
R-00051,cool_shelter,우리은행금천구청지점,서울특별시 금천구 시흥대로73길 70 (시흥동),18.0,126.8948525,37.4564983,03_seoul_cool_shelter.csv
R-00052,cool_shelter,서초호반써밋경로당,서울특별시 서초구 양재대로2길 109 (서초호반써밋 102동),109.0,127.013154,37.456532,03_seoul_cool_shelter.csv
R-00053,cool_shelter,참새경로당,서울특별시 금천구 한내로 55,149.3,126.8871926,37.4569538,03_seoul_cool_shelter.csv
R-00054,cool_shelter,금천어울림복지센터(1층로비),서울특별시 금천구 시흥대로73길 30 (시흥동),60.19,126.8975636,37.4570167,03_seoul_cool_shelter.csv
R-00055,cool_shelter,신흥경로당,서울특별시 금천구 금하로23길 155,148.0,126.9073526,37.4570322,03_seoul_cool_shelter.csv
R-00056,cool_shelter,금천구청(1층),서울특별시 금천구 시흥대로73길 70,154.0,126.895422,37.457039,03_seoul_cool_shelter.csv
R-00057,cool_shelter,모두의마을공간커뮤니티센터(1층다목적홀),서울특별시 금천구 벚꽃로 14 (독산동),104.0,126.8944073,37.4572563,03_seoul_cool_shelter.csv
R-00058,cool_shelter,산돌북카페,서울특별시 금천구 시흥대로75길 16,100.0,126.898338,37.457452,03_seoul_cool_shelter.csv
R-00059,cool_shelter,효정경로당,서울특별시 금천구 시흥대로 266 (시흥동),151.8,126.8998897,37.4575118,03_seoul_cool_shelter.csv
R-00060,cool_shelter,식유촌경로당,,42.0,127.012666,37.457648,03_seoul_cool_shelter.csv
R-00061,cool_shelter,금천한내어르신복지센터,서울특별시 금천구 한내로 69-15 (주공13단지아파트 1315동),150.0,126.886869,37.457939,03_seoul_cool_shelter.csv
R-00062,cool_shelter,금천구시각장애인쉼터,"서울특별시 금천구 시흥대로77길 23 (시흥동, 시흥베르빌아파트)",152.47,126.8984574,37.4581271,03_seoul_cool_shelter.csv
R-00063,cool_shelter,호반써밋공인중개사사무소,서울특별시 서초구 양재대로2길 33 (호반써밋서초파크),,127.02304,37.458156,03_seoul_cool_shelter.csv
R-00064,cool_shelter,탑성마을경로당,서울특별시 서초구 탑성말길 6,32.0,127.056402,37.458168,03_seoul_cool_shelter.csv
R-00065,cool_shelter,서초구립샘마을경로당,서울특별시 서초구 샘마을길 8 (내곡동),134.0,127.0714841,37.458219,03_seoul_cool_shelter.csv
R-00066,cool_shelter,휴먼시아(아)5경로당,서울특별시 관악구 난곡로 55 (관악산휴먼시아아파트 227동),70.0,126.918659,37.45824,03_seoul_cool_shelter.csv
R-00067,cool_shelter,LH서초3단지아파트경로당,서울특별시 서초구 양재대로2길 34 (엘에이치서초3단지 301동),109.0,127.02208,37.458585,03_seoul_cool_shelter.csv
R-00068,cool_shelter,새재미경로당,서울특별시 금천구 독산로39길 16,188.0,126.9042611,37.4588453,03_seoul_cool_shelter.csv
R-00069,cool_shelter,금나래문화체육센터(1층북카페),서울특별시 금천구 시흥대로79길 32 (독산동),252.72,126.896411,37.458887,03_seoul_cool_shelter.csv
R-00070,cool_shelter,호반써밋서초파크뷰아파트경로당,서울특별시 서초구 양재대로2길 11 (호반써밋서초파크뷰 주민복지관1),99.0,127.025138,37.458926,03_seoul_cool_shelter.csv
R-00071,cool_shelter,시흥4동주민센터,서울특별시 금천구 독산로36길 14 (시흥4동주민센터),30.0,126.906146,37.458938,03_seoul_cool_shelter.csv
R-00072,cool_shelter,새마을금고시흥제1지점,서울특별시 금천구 독산로 140-1 (시흥동),21.0,126.9052112,37.4599475,03_seoul_cool_shelter.csv
R-00073,cool_shelter,휴먼시아(아)2경로당,서울특별시 관악구 난곡로 55 (관악산휴먼시아아파트 212동),73.0,126.92191,37.460165,03_seoul_cool_shelter.csv
R-00074,cool_shelter,서초구립송동마을경로당,서울특별시 서초구 송동길 27 (우면동),151.0,127.0171256,37.4601697,03_seoul_cool_shelter.csv
R-00075,cool_shelter,국회단지경로당,서울특별시 관악구 난향9길 59-1,206.0,126.91497,37.460303,03_seoul_cool_shelter.csv
R-00076,cool_shelter,국제산장(아)경로당,서울특별시 관악구 호암로 417 (국제산장아파트 103동),109.0,126.928037,37.460816,03_seoul_cool_shelter.csv
R-00077,cool_shelter,세곡커뮤니티센터,서울특별시 강남구 헌릉로590길 68,231.0,127.102704,37.461063,03_seoul_cool_shelter.csv
R-00078,cool_shelter,한울경로당,"서울특별시 금천구 독산로50마길 39-8 (시흥동, 삼성빌라)",78.94,126.913054,37.4611121,03_seoul_cool_shelter.csv
R-00079,cool_shelter,서초네이처힐6단지아파트경로당,서울특별시 서초구 태봉로2길 30 (서초네이처힐6단지 603동),84.0,127.026544,37.461378,03_seoul_cool_shelter.csv
R-00080,cool_shelter,난향동주민센터,서울특별시 관악구 난곡로 67 (신림동),697.9,126.9188341,37.4615201,03_seoul_cool_shelter.csv
R-00081,cool_shelter,내곡느티나무쉼터,서울특별시 서초구 염곡말길 9,164.84,127.0506875,37.4617297,03_seoul_cool_shelter.csv
R-00082,cool_shelter,서초구립염곡경로당,서울특별시 서초구 염곡말길 9 (염곡동),165.0,127.0505059,37.4617719,03_seoul_cool_shelter.csv
R-00083,cool_shelter,신일교회(1층로비및카페),서울특별시 금천구 시흥대로90길 25 (독산동),110.0,126.8993157,37.461804,03_seoul_cool_shelter.csv
R-00084,cool_shelter,서초네이처힐7단지아파트경로당,서울특별시 서초구 태봉로2길 10 (서초네이처힐7단지 701동),92.0,127.023153,37.461847,03_seoul_cool_shelter.csv
R-00085,cool_shelter,내곡느티나무쉼터시니어라운지,서울특별시 서초구 염곡말길 9 (내곡동종합시설),,127.050855,37.461864,03_seoul_cool_shelter.csv
R-00086,cool_shelter,서초50플러스센터1층,서울특별시 서초구 염곡말길 9 (내곡동종합시설),,127.051251,37.461946,03_seoul_cool_shelter.csv
R-00087,cool_shelter,새재미마을활력소,서울특별시 금천구 독산로50길 105,150.0,126.9101755,37.4623248,03_seoul_cool_shelter.csv
R-00088,cool_shelter,신림SH빌(아)경로당,서울특별시 관악구 난곡로 80,64.0,126.919834,37.46242,03_seoul_cool_shelter.csv
R-00089,cool_shelter,삼성산주공(아)경로당,서울특별시 관악구 호암로 399 (삼성산주공아파트 301동),179.0,126.926031,37.462468,03_seoul_cool_shelter.csv
R-00090,cool_shelter,만수경로당,서울특별시 금천구 시흥대로90길 60-3,110.7,126.900969,37.4628214,03_seoul_cool_shelter.csv
R-00091,cool_shelter,장수경로당,서울특별시 금천구 시흥동 독산로50길  57-1  (시흥동),333.0,126.9075398,37.4628413,03_seoul_cool_shelter.csv
R-00092,cool_shelter,독산2동주민센터마을카페(1층),서울특별시 금천구 독산로 179 (독산2동주민센터),54.0,126.90348,37.463144,03_seoul_cool_shelter.csv
