name,address,gu_raw
"3,644","(운영, 운영예정, 미운영, 휴지, 폐지 등 경로당포함 )",
청운경로당,"종로구 필운대로 86, 1층(신교동)",종로구
세종마을경로당,종로구 옥인1길 12-2(옥인동),종로구
사직경로당,종로구 사직로9길 15-25(사직동),종로구
복정경로당,종로구 삼청로4길 22(삼청동),종로구
삼청경로당,종로구 삼청로5길 30(팔판동),종로구
부암경로당,종로구 자하문로 260(부암동),종로구
신영경로당,종로구 세검정로6길 76-19(신영동),종로구
구기할아버지경로당,종로구 진흥로 438-6(구기동),종로구
구기할머니경로당,종로구 진흥로 438-8(구기동),종로구
평창경로당,종로구 평창문화로 48(평창동),종로구
금강경로당,종로구 평창24길 18(평창동),종로구
롯데아파트경로당,종로구 평창문화로 140(평창동),종로구
삼성아파트경로당,종로구 평창문화로 172(평창동),종로구
무악경로당,종로구 통일로14길 19(무악동),종로구
무악제2경로당,종로구 통일로 246-11(무악동),종로구
무악현대아파트경로당,종로구 통일로12길 51(무악동),종로구
인왕산아이파크경로당,종로구 통일로18길 9(무악동),종로구
경희궁롯데캐슬아파트경로당,"종로구 통일로 230, 102동 1층(무악동, 경희궁롯데캐슬)",종로구
교남경로당,종로구 사직로2길 8(행촌동),종로구
행촌경로당,종로구 인왕산로1길 58 (행촌동),종로구
은행나무경로당,종로구 통일로12길 60(행촌동),종로구
경희궁자이1단지경로당,"종로구 송월길 130(행촌동, 경희궁자이1단지)",종로구
경희궁자이2단지경로당,"종로구 송월길 99 (홍파동, 경희궁자이2단지)",종로구
경희궁자이3단지경로당,"종로구 경교장길 35(평동, 경희궁자이3단지)",종로구
가회경로당,종로구 북촌로 35(가회동),종로구
북촌경로당,종로구 북촌로 20-27(재동),종로구
계원경로당,종로구 창덕궁3가길 8(원서동),종로구
원서경로당,종로구 창덕궁길 94(원서동),종로구
운니경로당,종로구 삼일대로32길 51(운니동),종로구
우정경로당,종로구 수표로22길 22(낙원동),종로구
효성경로당,종로구 종로 183(인의동),종로구
종로5․6가경로당,종로구 종로35가길 19(효제동),종로구
충신경로당,종로구 율곡로22나길 21(충신동),종로구
충신어르신행복충전소경로당,종로구 낙산성곽서길 65-11(충신동),종로구
마로니에경로당,종로구 낙산1길 21(동숭동),종로구
이화경로당,종로구 이화장1나길 15(이화동),종로구
연건경로당,종로구 대학로5길 38 (연건동),종로구
동숭경로당,종로구 동숭4나길 29(동숭동),종로구
6․25참전유공자경로당,"종로구 율곡로19길 17-3, 1호 (이화동)",종로구
낙산등우회경로당,종로구 낙산성곽서길 184(창신동),종로구
혜명경로당,종로구 혜화로9길 24-9(명륜1가),종로구
명륜2․4가경로당,종로구 창경궁로26길 7(명륜4가),종로구
명륜3가경로당,종로구 성균관로 50 (명륜1가),종로구
유림경로당,종로구 성균관로5길 25-13(명륜3가),종로구
와룡경로당,"종로구 명륜길 90, 2층(명륜3가)",종로구
아남아파트경로당,종로구 창경궁로 265(명륜2가),종로구
창일경로당,종로구 종로54길 9-23(창신동),종로구
당고개경로당,종로구 종로53길 29(창신동),종로구
창신두산아파트경로당,종로구 지봉로5길 7(창신동),종로구
창락경로당,종로구 창신길 191-6(창신동),종로구
창신2경로당,"종로구 창신길 98, 2,3층(창신동)",종로구
창인경로당,종로구 낙산성곽동길 70-3(창신동),종로구
온고회경로당,종로구 지봉로13길 14(창신동),종로구
창삼경로당,종로구 지봉로13길 82(창신동),종로구
쌍용A1단지경로당,종로구 동망산길 19(창신동),종로구
쌍용A2단지경로당,종로구 낙산길 198(창신동),종로구
숭인1상록경로당,"종로구 지봉로 86, 4층(숭인동)",종로구
종로센트레빌경로당,종로구 동망산길 47(숭인동),종로구
롯데캐슬천지인경로당,"종로구 종로 347, 천동 2층(숭인동)",종로구
숭인2경로당,종로구 종로66가길 35(숭인동),종로구
흥인경로당,"종로구 숭인동길 78-8, 2층(숭인동)",종로구
한마음경로당,"종로구 숭인동길 78-8, 1층(숭인동)",종로구
동원경로당,종로구 숭인동2길 28(숭인동),종로구
힐스테이트경로당,종로구 숭인동길 21(숭인동),종로구
소 공,서소문로11길 10 (서소문동),중구
덕수궁롯데캐슬아파트,"서소문로9길 28, 2층",중구
남대문5가,남대문로5가 626,중구
회 현,퇴계로12길89(회현동1가),중구
남산SK리더스뷰,퇴계로72(회현동1가) 3층,중구
남산 아이리스,"소공로35(회현동1가,남산롯데캐슬아이리스)4층",중구
명 동,퇴계로20길25-26(남산동2가),중구
필 동,필동로11(필동2가),중구
장 충,동호로25길38(장충동2가),중구
공원장충,동호로257-10(장충동2가),중구
묵 정,퇴계로45길 32-12,중구
광 희,퇴계로 303-9 광희동주민센터 4층,중구
을 지,을지로28길16(을지로4가),중구
신 당,다산로29길10(신당동),중구
신일(구:광희문),청구로121(신당동)(2015.04.08.명칭변경),중구
다 산,동호로12길97(신당동),중구
충 현,동호로17나길5-4(신당동),중구
장 수,동호로11다길18(신당동),중구
약 수,다산로10길10-10(신당동),중구
동 호,동호로8길42-22(신당동),중구
남산숲(구 남산타운1),다산로32(신당동) 3동앞,중구
쌈지(구 남산타운2),다산로32(신당동) 25동,중구
하늘(구 남산타운3),다산로32(신당동) 관리사무소 옆,중구
청 구,청구로3길 69(신당동) 1층,중구
약수하이츠,동호로10길30(신당동) 106동옆,중구
대양,동호로10길30(신당동) 119동,중구
삼성아파트,청구로1길23(신당동) 114동옆,중구
청송,청구로1길23(신당동) 115동뒤,중구
신당5동,다산로42길53(신당동),중구
유 락,퇴계로90길42(신당동),중구
한진그랑빌,"왕십리로39길30, 103동옆",중구
한진그랑빌행복,"왕십리로39길30, 104동옆",중구
하이베르,"퇴계로90길74, 111동",중구
사랑(구 하이베르2),"퇴계로90길74, 201동",중구
신당KCC스위첸,"난계로 130, 102동 1층",중구
하나유보라아파트,"중구 왕십리로 407, 105동 L2층",중구
동화동,퇴계로80길52(신당동),중구
신당푸르지오,다산로36길110(103동) 관리사무소옆,중구
동화동현대@,"다산로36길109, 1동앞",중구
파라다이스(150세대미만아파트),"다산로42나길46(신당동,파라다이스)",중구
청구e편한세상,"청구로64, 109동 1층",중구
동 화,"청구로64, 115동 1층",중구
황 중,난계로11길37(황학동),중구
SH황학롯데캐슬,"청계천로400(황학동), 106동7층",중구
롯데캐슬베네치아,"청계천로400(황학동), 103동7층",중구
중 림,손기정로 101-5,중구
삼성사이버,"중림로10(중림동), 105동앞",중구
충 정,"중림로4길41(중림동), 202동 1층",중구
서울역자이아파트,"만리재로 175, 109동 1층",중구
한 라,"만리재로 177, 103동 1층",중구
양짓말경로당,서울특별시 용산구 후암로13가길 25,용산구
활터골경로당,서울특별시 용산구 신흥로20길 55,용산구
새말경로당,서울특별시 용산구 두텁바위로58길 48,용산구
후암미주아파트경로당,서울특별시 용산구 후암로 71-1,용산구
두텁바위경로당,서울특별시 용산구 두텁바위로31길 28,용산구
신흥경로당,서울특별시 용산구 신흥로25가길 1,용산구
용산2가경로당,서울특별시 용산구 신흥로16길 18,용산구
용암경로당,서울특별시 용산구 신흥로3가길 21-7,용산구
동자동경로당,서울특별시 용산구 한강대로104길 30-4,용산구
갈월경로당,서울특별시 용산구 두텁바위로1길 13,용산구
남영경로당,서울특별시 용산구 한강대로72길 21-15,용산구
서계경로당,서울특별시 용산구 만리재로28길 5-22,용산구
서계제1경로당,서울특별시 용산구 효창원로104길 7,용산구
청파제1경로당,서울특별시 용산구 청파로71길 100,용산구
청파제2경로당,서울특별시 용산구 청파로49길 34,용산구
은행나무집경로당,서울특별시 용산구 청파로73길 73-10,용산구
원효제1경로당,서울특별시 용산구 백범로 329,용산구
효원경로당,서울특별시 용산구 원효로83길 13-4,용산구
원일(원효로2가)경로당,서울특별시 용산구 원효로67길 13,용산구
신계경로당,서울특별시 용산구 원효로 216,용산구
cj나인파크경로당,서울특별시 용산구 백범로90다길 12,용산구
KCC웰츠타워경로당,서울특별시 용산구 백범로90길 90,용산구
청심경로당,서울특별시 용산구 효창원로 6,용산구
원효로경로당,서울특별시 용산구 원효로41가길 14-19,용산구
리버힐삼성아파트제2(임대)경로당,서울특별시 용산구 효창원로 17,용산구
리버힐삼성아파트제1경로당,서울특별시 용산구 효창원로13길 7,용산구
산천경로당,서울특별시 용산구 새창로8길 157,용산구
세방경로당,서울특별시 용산구 효창원로15길 16,용산구
강병삼성스위트경로당,서울특별시 용산구 원효로 40,용산구
효창동제1경로당,서울특별시 용산구 임정로11길 9,용산구
효창제2경로당,서울특별시 용산구 효창원로 146-12,용산구
효창한신아파트경로당,서울특별시 용산구 백범로45길 9-11,용산구
효창파크푸르지오아파트경로당,서울특별시 용산구 백범로 260,용산구
효창스위첸경로당,서울특별시 용산구 백범로 275,용산구
용산롯데캐슬경로당,서울특별시 용산구 백범로 313,용산구
데시앙포레경로당,서울특별시 용산구 효창원로 227,용산구
도원삼성래미안제2(임대)경로당,서울특별시 용산구 새창로8길 7,용산구
도원삼성래미안제1경로당,서울특별시 용산구 새창로 70,용산구
송학당경로당,서울특별시 용산구 효창원로37라길 11,용산구
중앙경로당,서울특별시 용산구 새창로 102,용산구
브라운스톤경로당,서울특별시 용산구 효창원로 88,용산구
삼각지경로당,서울특별시 용산구 이태원로2길 5,용산구
파크자이경로당,서울특별시 용산구 한강대로 205,용산구
한강로2가경로당,서울특별시 용산구 서빙고로20길 19,용산구
한강우람경로당,서울특별시 용산구 한강대로53길 1-8,용산구
용산파크이편한세상경로당,서울특별시 용산구 한강대로53길 16,용산구
한마음경로당,서울특별시 용산구 한강대로38길 28,용산구
한강로3가경로당,서울특별시 용산구 한강대로7길 17-16,용산구
삼오경로당,서울특별시 용산구 한강대로 60,용산구
파크타워경로당,서울특별시 용산구 서빙고로 67,용산구
센트럴파크경로당,"서울특별시 용산구 서빙고로 17, 101동 3층",용산구
이촌1동2경로당,서울특별시 용산구 이촌로75길 12-12,용산구
한가람아파트경로당,서울특별시 용산구 이촌로 201,용산구
