,count,mean,std,min,50%,90%,95%,99%,max,missing,zero_pct
intersection_count,121051.0,1.12,1.393,0.0,1.0,3.0,4.0,6.0,38.0,0,0.382
deadend_count,121051.0,0.225,0.547,0.0,0.0,1.0,1.0,2.0,10.0,0,0.822
edge_count,121051.0,3.862,4.04,0.0,2.0,8.0,10.0,20.0,122.0,0,0.117
edge_length_avg_m,121051.0,70.469,95.315,0.0,47.583,143.007,198.516,417.882,5088.779,0,0.117
road_complexity_raw,121051.0,3.071,2.877,0.41,2.27,6.545,8.332,13.912,70.2,0,0.0
intersection_density_200m,121051.0,1.131,0.462,0.0,1.054,1.707,1.982,2.584,6.156,0,0.001
road_complexity_200m,121051.0,3.097,1.113,0.426,2.934,4.516,5.128,6.49,13.359,0,0.0
is_residential_low,121051.0,0.128,0.334,0.0,0.0,1.0,1.0,1.0,1.0,0,0.872
is_residential,121051.0,0.751,0.433,0.0,1.0,1.0,1.0,1.0,1.0,0,0.249
residential_low_score_200m,121051.0,0.126,0.213,0.0,0.025,0.419,0.638,0.968,1.0,0,0.402
residential_score_200m,121051.0,0.756,0.336,0.0,0.938,1.0,1.0,1.0,1.0,0,0.088
rest_count_in_cell,121051.0,0.044,0.243,0.0,0.0,0.0,0.0,1.0,5.0,0,0.964
rest_count_within_200m,121051.0,2.17,2.228,0.0,2.0,5.0,7.0,9.0,16.0,0,0.295
rest_count_within_500m,121051.0,12.821,8.654,0.0,11.0,25.0,29.0,38.0,53.0,0,0.044
has_park_within_200m,121051.0,0.028,0.164,0.0,0.0,0.0,0.0,1.0,1.0,0,0.972
rest_kind_diversity,121051.0,0.042,0.229,0.0,0.0,0.0,0.0,1.0,3.0,0,0.964
cctv_count_in_cell,121051.0,0.07,0.298,0.0,0.0,0.0,1.0,1.0,6.0,0,0.94
cctv_count_within_100m,121051.0,0.771,1.558,0.0,0.0,2.0,4.0,8.0,28.0,0,0.644
cctv_count_within_200m,121051.0,2.969,5.151,0.0,1.0,8.0,15.0,25.0,49.0,0,0.332
cctv_count_within_500m,121051.0,17.42,26.95,0.0,8.0,46.0,88.0,126.0,194.0,0,0.058
cctv_crime_prev_within_200m,121051.0,1.113,3.602,0.0,0.0,3.0,10.0,18.0,46.0,0,0.868
facility_count_in_cell,121051.0,0.009,0.176,0.0,0.0,0.0,0.0,0.0,14.0,0,0.996
facility_count_within_200m,121051.0,0.412,1.341,0.0,0.0,1.0,2.0,6.0,25.0,0,0.84
facility_count_within_500m,121051.0,2.394,4.067,0.0,1.0,6.0,10.0,19.0,59.0,0,0.441
facility_capacity_within_500m,121051.0,25.07,50.464,0.0,0.0,91.0,132.0,255.0,371.0,0,0.632
pop_65plus_per_grid,121051.0,15.931,4.314,6.71,16.79,21.7,23.52,23.66,23.66,0,0.0
pop_75plus_per_grid,121051.0,6.49,1.7,2.94,6.64,8.6,9.62,10.14,10.14,0,0.0
pop_65plus_gu,121051.0,81179.203,23985.042,27497.0,85718.0,114922.0,121744.0,121744.0,121744.0,0,0.0
pct_elderly_75_gu,121051.0,8.488,1.15,6.92,8.35,9.93,10.86,11.75,11.75,0,0.0
discovery_probability,121051.0,0.275,0.139,0.0,0.26,0.457,0.535,0.681,0.852,0,0.001
