facility_id,facility_name,category_main,category_detail,address,gu_name,dong_name,capacity,source_file,lon,lat,road_address,jibun_address,geocode_status,geocode_provider,geocode_query,geocode_error,geocode_sido,geocode_gu,geocode_dong,kakao_address_type,kakao_h_code,kakao_b_code,kakao_building_name,kakao_zone_no,grid_id,grid_id_50m
H-A0019,혜명양로원,주거,(노인복지시설) 양로시설,서울특별시 금천구 금하로29길,금천구,시흥동,,01_노인주거복지시설.csv,126.912686049667,37.4509802594745,서울 금천구 금하로29길,,OK,kakao,서울특별시 금천구 금하로29길,,서울,금천구,시흥동,ROAD,,,,,AD-14,G50-00597-00305
H-A0098,시립고덕양로원,주거,(노인복지시설) 양로시설,서울특별시 강동구 고덕로 199 (고덕동),강동구,고덕동,,01_노인주거복지시설.csv,127.146961654533,37.555897393822,서울 강동구 고덕로 199,서울 강동구 고덕동 317-23,OK,kakao,서울특별시 강동구 고덕로 199 (고덕동),,서울,강동구,고덕1동,ROAD_ADDR,1174055000.0,1174010200.0,시립고덕양로원,5235.0,R-34,G50-00364-00718
H-A1746,사랑의 집,주거,(노인복지시설) 양로시설,서울특별시 마포구 만리재옛6길 14 (공덕동),마포구,공덕동,,01_노인주거복지시설.csv,126.958150757949,37.5481581610258,서울 마포구 만리재옛6길 14,서울 마포구 공덕동 115-47,OK,kakao,서울특별시 마포구 만리재옛6길 14 (공덕동),,서울,마포구,공덕동,ROAD_ADDR,1144056500.0,1144010200.0,,4208.0,S-18,G50-00381-00385
H-A2156,서울성모원,주거,(노인복지시설) 양로시설,서울특별시 영등포구 대림로12가길 7-1,영등포구,대림1동,,01_노인주거복지시설.csv,126.904627561748,37.4914741693588,서울 영등포구 대림로12가길 7-1,서울 영등포구 대림동 873-5,OK,kakao,서울특별시 영등포구 대림로12가길 7-1,,서울,영등포구,대림1동,ROAD_ADDR,1156070000.0,1156013300.0,,7438.0,Y-13,G50-00507-00290
H-A2218,성우회,주거,(노인복지시설) 양로시설,서울특별시 은평구 통일로92길 13 (불광동),은평구,불광동,,01_노인주거복지시설.csv,126.921702984122,37.6257690511938,서울 은평구 통일로92길 13,서울 은평구 불광동 480-63,OK,kakao,서울특별시 은평구 통일로92길 13 (불광동),,서울,은평구,불광2동,ROAD_ADDR,1138053000.0,1138010300.0,,3337.0,J-14,G50-00209-00320
H-A3022,서울시니어스타워㈜강서본부,주거,(노인복지시설) 노인복지주택,서울특별시 강서구 공항대로 315 (등촌동),강서구,등촌동,,01_노인주거복지시설.csv,126.842791205411,37.5584986162827,서울 강서구 공항대로 315,서울 강서구 등촌동 669-1,OK,kakao,서울특별시 강서구 공항대로 315 (등촌동),,서울,강서구,등촌3동,ROAD_ADDR,1150053500.0,1150010200.0,서울시니어강서타워,7591.0,R-7,G50-00358-00181
H-A3167,섭리의집,주거,(노인복지시설) 양로시설,서울특별시 금천구 시흥대로40길 111-5 (시흥동),금천구,시흥동,,01_노인주거복지시설.csv,126.90866449392,37.4464282723043,서울 금천구 시흥대로40길 111-5,서울 금천구 시흥동 420-4,OK,kakao,서울특별시 금천구 시흥대로40길 111-5 (시흥동),,서울,금천구,시흥5동,ROAD_ADDR,1154571000.0,1154510300.0,,8648.0,AD-13,G50-00607-00297
H-A4603,서울시니어스타워(주)가양본부,주거,(노인복지시설) 노인복지주택,서울특별시 강서구 화곡로68길 102 (등촌동),강서구,등촌동,,01_노인주거복지시설.csv,126.859331594729,37.5569887781271,서울 강서구 화곡로68길 102,서울 강서구 등촌동 637,OK,kakao,서울특별시 강서구 화곡로68길 102 (등촌동),,서울,강서구,등촌1동,ROAD_ADDR,1150052000.0,1150010200.0,서울시니어스가양타워,7550.0,R-9,G50-00361-00210
H-A6023,시니어캐슬 클라시온,주거,(노인복지시설) 노인복지주택,서울특별시 은평구 은평로21길 34-5 (녹번동),은평구,녹번동,,01_노인주거복지시설.csv,126.931059562221,37.6031940461521,서울 은평구 은평로21길 34-5,서울 은평구 녹번동 91-7,OK,kakao,서울특별시 은평구 은평로21길 34-5 (녹번동),,서울,은평구,녹번동,ROAD_ADDR,1138051000.0,1138010200.0,시니어캐슬클라시온,3382.0,M-15,G50-00259-00337
H-A6524,모니카의 집,주거,(노인복지시설) 노인공동생활가정,서울특별시 광진구 자양로33길 36 (구의동),광진구,구의동,,01_노인주거복지시설.csv,127.08614790027,37.547392269316,서울 광진구 자양로33길 36,서울 광진구 구의동 619-24,OK,kakao,서울특별시 광진구 자양로33길 36 (구의동),,서울,광진구,구의2동,ROAD_ADDR,1121586000.0,1121510300.0,,4993.0,S-29,G50-00383-00611
