grid_id,facility_count
A-10,2
AA-12,7
AA-13,11
AA-14,18
AA-15,6
AA-17,4
AA-19,1
AA-20,3
AA-21,1
AA-25,4
AA-26,2
AA-30,3
AA-31,1
AA-33,1
AA-34,3
AA-7,2
AB-12,9
AB-13,11
AB-14,1
AB-16,8
AB-23,2
AB-26,1
AB-30,2
AB-31,1
AC-11,3
AC-12,2
AC-13,2
AC-14,2
AC-15,2
AC-26,3
AC-31,2
AD-12,5
AD-13,10
AD-14,5
C-25,2
D-25,1
D-26,14
E-24,2
E-25,9
E-26,6
E-27,2
F-24,6
F-25,46
F-26,4
F-27,11
F-28,4
G-22,1
G-23,1
G-24,3
G-25,25
G-26,1
G-27,12
G-28,3
H-22,2
H-23,10
H-25,13
H-27,2
H-28,1
I-14,1
I-16,2
I-22,5
I-23,19
I-24,6
I-25,6
J-14,2
J-15,2
J-23,16
J-24,5
J-25,5
J-27,2
J-28,2
K-14,5
K-15,1
K-24,3
K-26,2
K-27,1
K-28,1
K-29,2
K-30,2
L-14,5
L-15,4
L-17,2
L-18,6
L-19,7
L-22,4
L-23,4
L-24,2
L-25,2
L-26,1
L-27,2
L-28,8
L-29,2
L-31,1
M-13,1
M-14,8
M-15,9
M-17,3
M-18,8
M-22,4
M-23,2
M-24,3
M-25,11
M-26,2
M-27,1
M-28,8
M-29,4
M-30,17
M-31,6
N-13,8
N-14,5
N-20,2
N-22,2
N-23,2
N-24,5
N-27,2
N-28,18
N-29,8
N-30,23
O-11,1
O-12,10
O-13,1
O-14,4
O-17,1
O-19,1
O-23,10
O-24,2
O-25,21
O-26,3
O-27,2
O-28,3
O-29,1
O-30,5
P-12,1
P-13,2
P-15,4
P-16,5
P-20,1
P-21,2
P-22,3
P-23,3
P-24,2
P-25,3
P-26,1
P-27,15
P-28,6
P-29,6
P-37,1
P-4,6
P-5,5
P-7,1
Q-13,2
Q-15,2
Q-18,6
Q-19,1
Q-23,3
Q-24,4
Q-25,1
Q-27,4
Q-28,2
Q-29,9
Q-37,1
Q-5,6
Q-6,2
Q-7,4
R-16,1
R-17,1
R-18,11
R-21,2
R-22,2
R-23,3
R-24,3
R-25,1
R-26,3
R-29,5
R-33,2
R-34,5
R-37,6
R-6,2
R-7,2
R-8,4
R-9,4
S-15,1
S-16,1
S-17,6
S-18,4
S-19,1
S-22,4
S-23,1
S-24,2
S-25,1
S-27,2
S-28,4
S-29,4
S-30,2
S-31,4
S-33,13
S-34,6
S-35,3
S-6,13
S-7,3
S-8,12
S-9,7
T-10,1
T-11,1
T-16,1
T-17,1
T-18,2
T-22,2
T-26,5
T-28,1
T-29,7
T-32,6
T-34,12
T-7,3
T-8,5
T-9,6
U-10,1
U-19,2
U-20,1
U-22,1
U-28,5
U-29,7
U-34,1
U-6,1
U-7,7
U-8,12
U-9,4
V-10,4
V-15,1
V-18,1
V-19,2
V-25,4
V-33,1
V-6,2
V-7,4
V-8,8
V-9,7
W-10,1
W-12,4
W-14,2
W-16,1
W-18,2
W-23,2
W-24,4
W-25,1
W-26,2
W-27,1
W-6,2
W-7,2
W-9,3
X-11,2
X-12,3
X-13,10
X-14,1
X-15,1
X-17,5
X-21,1
X-25,2
X-26,3
X-27,1
X-31,3
X-33,2
X-34,10
X-35,8
X-7,2
X-8,1
X-9,6
Y-12,2
Y-13,16
Y-15,14
Y-16,2
Y-17,2
Y-23,2
Y-25,3
Y-29,3
Y-30,11
Y-32,4
Y-34,5
Y-35,3
Y-6,1
Y-7,2
Y-8,5
Y-9,2
Z-11,2
Z-13,10
Z-14,6
Z-16,4
Z-18,2
Z-20,1
Z-21,3
Z-22,1
Z-23,2
Z-24,2
Z-25,2
Z-30,1
Z-33,5
Z-9,4
