gu_name,dong_name,category_main,facility_count
강남구,,여가,1
강남구,,의료현황,1
강남구,개포4동,의료현황,1
강남구,개포동,여가,2
강남구,개포동,의료,2
강남구,개포동,주거,1
강남구,논현1동,의료현황,1
강남구,논현2동,의료현황,1
강남구,논현동,여가,3
강남구,논현동,의료,2
강남구,대치4동,의료현황,1
강남구,대치동,여가,2
강남구,대치동,의료,1
강남구,도곡동,여가,2
강남구,도곡동,주거,1
강남구,삼성1동,의료현황,1
강남구,삼성동,여가,1
강남구,삼성동,의료,1
강남구,서면,의료현황,1
강남구,세곡동,여가,2
강남구,세곡동,의료,1
강남구,세곡동,의료현황,2
강남구,수서동,여가,1
강남구,신사동,여가,1
강남구,역삼2동,의료현황,1
강남구,역삼동,여가,4
강남구,역삼동,의료,1
강남구,율현동,여가,1
강남구,일원1동,의료현황,1
강남구,일원동,의료,2
강남구,자곡동,의료,1
강남구,자곡동,주거,2
강남구,포이동,의료,1
강동구,강동,여가,1
강동구,강동,의료,11
강동구,강동,의료현황,23
강동구,강일동,여가,1
강동구,강일동,의료,4
강동구,고덕동,여가,1
강동구,고덕동,의료,2
강동구,고덕동,주거,1
강동구,길동,의료,2
강동구,둔촌동,의료,1
강동구,둔촌동,주거,1
강동구,명일동,여가,1
강동구,명일동,의료,3
강동구,암사동,의료,1
강동구,천호동,여가,1
강동구,천호동,의료,3
강북구,,의료현황,1
강북구,미아동,여가,1
강북구,미아동,의료,6
강북구,미아동,의료현황,4
강북구,번3동,의료현황,2
강북구,번동,여가,1
강북구,번동,의료,5
강북구,송중동,의료현황,1
강북구,수유1동,의료현황,6
강북구,수유2동,의료현황,4
강북구,수유3동,의료현황,2
강북구,수유동,여가,1
강북구,수유동,의료,27
강북구,수유동,의료현황,4
강북구,우이동,의료,1
강북구,우이동,의료현황,1
강북구,인수동,의료현황,7
강서구,가양1동,의료현황,1
강서구,가양동,여가,1
강서구,가양동,의료,2
강서구,개화동,의료,1
강서구,개화동,의료현황,1
강서구,내발산동,의료,12
강서구,내발산동,의료현황,1
강서구,등촌1동,의료현황,1
강서구,등촌2동,의료현황,2
강서구,등촌3동,의료현황,1
강서구,등촌동,여가,3
강서구,등촌동,의료,4
강서구,등촌동,주거,3
강서구,마곡동,여가,1
