grid_id_50m,norm_intersection,norm_road_complexity,norm_residential,norm_rest_area,norm_cctv,norm_facility,norm_population_proxy,discovery_probability,discovery_pct_rank,gu_name,contrib_intersection,contrib_road_complexity,contrib_residential,contrib_rest_area,contrib_cctv,contrib_facility,contrib_population_proxy,distance_m,search_rank,incident_lon,incident_lat,hours_elapsed,search_radius_m
G50-00313-00406,1.0,1.0,0.3269230769230768,0.3333333333333333,0.12,0.0,0.0,0.6919717948717948,0.9921,종로구,0.35,0.25,0.049,0.0333,0.0096,0.0,0.0,688.2080479231035,1,126.977,37.5759,6.0,2500.0
G50-00315-00406,1.0,1.0,0.2923076923076922,0.3333333333333333,0.16,0.0,0.0,0.6899794871794872,0.9918,종로구,0.35,0.25,0.0438,0.0333,0.0128,0.0,0.0,647.7733532849314,2,126.977,37.5759,6.0,2500.0
G50-00312-00406,1.0,1.0,0.3272727272727272,0.3333333333333333,0.08,0.0,0.0,0.6888242424242423,0.9916,종로구,0.35,0.25,0.0491,0.0333,0.0064,0.0,0.0,712.8396153597309,3,126.977,37.5759,6.0,2500.0
G50-00313-00408,0.9867974045088423,1.0,0.3265822784810126,0.3333333333333333,0.12,0.0,0.0,0.6872997666835801,0.9913,종로구,0.3454,0.25,0.049,0.0333,0.0096,0.0,0.0,601.0205765613949,4,126.977,37.5759,6.0,2500.0
G50-00312-00407,1.0,1.0,0.3,0.3333333333333333,0.08,0.0,0.0,0.6847333333333333,0.9909,종로구,0.35,0.25,0.045,0.0333,0.0064,0.0,0.0,670.3809021901942,5,126.977,37.5759,6.0,2500.0
G50-00313-00407,1.0,1.0,0.3,0.3333333333333333,0.08,0.0,0.0,0.6847333333333333,0.9909,종로구,0.35,0.25,0.045,0.0333,0.0064,0.0,0.0,644.1277466630811,6,126.977,37.5759,6.0,2500.0
G50-00315-00407,1.0,1.0,0.27,0.3333333333333333,0.12,0.0,0.0,0.6834333333333333,0.9906,종로구,0.35,0.25,0.0405,0.0333,0.0096,0.0,0.0,600.7333468529396,7,126.977,37.5759,6.0,2500.0
G50-00311-00406,0.9681679340575886,1.0,0.3265822784810126,0.3333333333333333,0.12,0.0,0.0,0.6807794520256413,0.99,종로구,0.3389,0.25,0.049,0.0333,0.0096,0.0,0.0,740.0339973449205,8,126.977,37.5759,6.0,2500.0
G50-00314-00407,1.0,1.0,0.3,0.2222222222222222,0.16,0.0,0.0,0.6800222222222223,0.9898,종로구,0.35,0.25,0.045,0.0222,0.0128,0.0,0.0,620.7983199245872,9,126.977,37.5759,6.0,2500.0
G50-00314-00408,1.0,1.0,0.3177215189873417,0.2222222222222222,0.12,0.0,0.0,0.6794804500703235,0.9897,종로구,0.35,0.25,0.0477,0.0222,0.0096,0.0,0.0,575.9476829106299,10,126.977,37.5759,6.0,2500.0
