grid_id_50m,norm_intersection,norm_road_complexity,norm_residential,norm_rest_area,norm_cctv,norm_facility,norm_population_proxy,discovery_probability,discovery_pct_rank,gu_name,contrib_intersection,contrib_road_complexity,contrib_residential,contrib_rest_area,contrib_cctv,contrib_facility,contrib_population_proxy,distance_m,search_rank,incident_lon,incident_lat,hours_elapsed,search_radius_m,incident_facility_id,incident_facility_name,incident_gu
G50-00125-00527,0.7564905760552162,0.7334956503762089,0.3087499999999999,0.6666666666666666,0.04,1.0,0.9184952978056424,0.6318796398142139,0.9793,도봉구,0.2648,0.1834,0.0463,0.0667,0.0032,0.04,0.0276,2251.8561344507166,1,127.039498704525,37.6431930243689,6.0,2500.0,M-G1064,사랑재활요양원,도봉구
G50-00128-00524,0.7575912274611505,0.7339047556477043,0.3269230769230768,0.5555555555555556,0.08,1.0,0.9184952978056424,0.6271819945515151,0.9782,도봉구,0.2652,0.1835,0.049,0.0556,0.0064,0.04,0.0276,2112.781764777354,2,127.039498704525,37.6431930243689,6.0,2500.0,M-G1064,사랑재활요양원,도봉구
G50-00125-00529,0.738093973984603,0.7417406812122747,0.34375,0.5555555555555556,0.04,1.0,0.9184952978056424,0.6216409756874046,0.9769,도봉구,0.2583,0.1854,0.0516,0.0556,0.0032,0.04,0.0276,2250.7084990168246,3,127.039498704525,37.6431930243689,6.0,2500.0,M-G1064,사랑재활요양원,도봉구
G50-00125-00526,0.7508241121262932,0.7251238425849239,0.3088607594936708,0.5555555555555556,0.04,1.0,0.9184952978056424,0.6167089283042091,0.9759,도봉구,0.2628,0.1813,0.0463,0.0556,0.0032,0.04,0.0276,2254.112267739218,4,127.039498704525,37.6431930243689,6.0,2500.0,M-G1064,사랑재활요양원,도봉구
G50-00125-00530,0.7626227767454207,0.7665069235583689,0.33625,0.3333333333333333,0.04,1.0,0.9184952978056424,0.6130703950179921,0.975,도봉구,0.2669,0.1916,0.0504,0.0333,0.0032,0.04,0.0276,2251.818711650427,5,127.039498704525,37.6431930243689,6.0,2500.0,M-G1064,사랑재활요양원,도봉구
G50-00130-00524,0.7890384104878396,0.768910978996578,0.3179487179487179,0.2222222222222222,0.08,1.0,0.9184952978056424,0.6122605772685876,0.9749,도봉구,0.2762,0.1922,0.0477,0.0222,0.0064,0.04,0.0276,2013.3881708622446,6,127.039498704525,37.6431930243689,6.0,2500.0,M-G1064,사랑재활요양원,도봉구
G50-00129-00524,0.7450123542504749,0.7347193811801211,0.3269230769230768,0.4444444444444444,0.08,1.0,0.9184952978056424,0.6118719341997717,0.9748,도봉구,0.2608,0.1837,0.049,0.0444,0.0064,0.04,0.0276,2063.077641794781,7,127.039498704525,37.6431930243689,6.0,2500.0,M-G1064,사랑재활요양원,도봉구
G50-00127-00524,0.7387229176451368,0.7125844426440285,0.3179487179487179,0.5555555555555556,0.04,1.0,0.9184952978056424,0.6107018540188376,0.9744,도봉구,0.2586,0.1781,0.0477,0.0556,0.0032,0.04,0.0276,2162.4995294984824,8,127.039498704525,37.6431930243689,6.0,2500.0,M-G1064,사랑재활요양원,도봉구
G50-00125-00528,0.7258295726041942,0.7229951310848904,0.32625,0.5555555555555556,0.04,1.0,0.9184952978056424,0.6100370476724154,0.9742,도봉구,0.254,0.1807,0.0489,0.0556,0.0032,0.04,0.0276,2250.7209795059034,9,127.039498704525,37.6431930243689,6.0,2500.0,M-G1064,사랑재활요양원,도봉구
G50-00130-00521,0.7006552750338814,0.6782586232060802,0.3460526315789473,0.5555555555555556,0.2,1.0,0.9184952978056424,0.6058123112899455,0.9732,도봉구,0.2452,0.1696,0.0519,0.0556,0.016,0.04,0.0276,2035.9001532742118,10,127.039498704525,37.6431930243689,6.0,2500.0,M-G1064,사랑재활요양원,도봉구
